Symbol,Pin Number, Pin Name,Bank,Net Name
,J19,IO_L6N_T0_D08_VREF_14,,
,H17,fpga_var_type[1],,FPGA_VAR_Type[1]
,G17,fpga_var_type[0],,FPGA_VAR_Type[0]
,E18,IO_L3P_T0_DQS_PUDC_B_14,,PUDC_B
,H19,exposure_out,,FPGA_ACQ_EXP
,G19,strobe_out,,FPGA_ACQ_STRB
,J18,trig_rdy_out,,FPGA_ACQ_TRIG_RDY
,J17,ext_trig,,FPGA_ACQ_TRIG
,D17,led_out[1],,FPGA_ACQ_LED1
,E19,led_out[0],,FPGA_ACQ_LED0
,F18,cfg_spi_sd[3],,sd[3]
,G18,cfg_spi_sd[2],,cfg_spi_sd[2]
,D19,cfg_spi_sd[1],,cfg_spi_sd[1]
,D18,cfg_spi_sd[0],,sd[0]
,K19,cfg_spi_cs_n,,cfg_spi_cs_n
IF00750C01B0_7572_v0_BANK_35
,P3,IO_L12N_T1_MRCC_35,,
,N2,IO_L10P_T1_AD15P_35,,GROUND
,M2,IO_L9P_T1_DQS_AD7P_35,,
,M3,IO_L8N_T1_AD14N_35,,
,K3,IO_L7N_T1_AD6N_35,,
,J3,IO_L7P_T1_AD6P_35,,GROUND
,L1,IO_L6N_T0_VREF_35,,
,H2,xgs_sdin,,MISO
,P1,xgs_monitor[0],,monitor0
,N1,xgs_monitor[1],,monitor1
,M1,xgs_monitor[2],,monitor2
,N3,ref_clk,,FPGA_Ref_CLK
,L2,xgs_trig_rd,,TRIG_RD
,L3,xgs_trig_int,,TRIG_INT
,H1,xgs_sdout,,MOSI
,J1,xgs_sclk,,$17N1501
,G2,xgs_reset_n,,RESET_N
,K2,xgs_fwsi_en,,FWSI_EN
,J2,xgs_cs_n,,CS_N
,G3,xgs_clk_pll_en,,XGS_CLK_EN
IF00750C01B0_7572_v0_BANK_34
,V8,IO_L14N_T2_SRCC_34,,GROUND
,U8,IO_L14P_T2_SRCC_34,,
,V4,IO_L11N_T1_SRCC_34,,GROUND
,U4,IO_L11P_T1_SRCC_34,,
,U2,IO_L9N_T1_DQS_34,,
,U3,IO_L9P_T1_DQS_34,,
,W2,xgs_hispi_sdata_n[5],,DATA_5_N
,V2,xgs_hispi_sdata_p[5],,DATA_5_P
,V7,xgs_hispi_sdata_n[4],,DATA_4_N
,U7,xgs_hispi_sdata_p[4],,DATA_4_P
,T2,xgs_hispi_sdata_n[3],,DATA_3_N
,R2,xgs_hispi_sdata_p[3],,DATA_3_P
,T3,IO_L2N_T0_34,,
,R3,IO_L2P_T0_34,,GROUND
,V5,xgs_hispi_sdata_n[2],,DATA_2_N
,U5,xgs_hispi_sdata_p[2],,DATA_2_P
,U1,xgs_hispi_sdata_n[1],,DATA_1_N
,T1,xgs_hispi_sdata_p[1],,DATA_1_P
,W3,xgs_hispi_sdata_n[0],,DATA_0_N
,V3,xgs_hispi_sdata_p[0],,DATA_0_P
,W6,xgs_hispi_sclk_n[3],,D_CLK_3_N
,W7,xgs_hispi_sclk_p[3],,D_CLK_3_P
,W4,xgs_hispi_sclk_n[2],,D_CLK_2_N
,W5,xgs_hispi_sclk_p[2],,D_CLK_2_P
IF00750C01B0_7572_v0_BANK_216
,A10,MGTREFCLK1N_216,,
,B10,MGTREFCLK1P_216,,
